"last_name, first_name",arm_angle,ff_avg_speed
"Abbott, Andrew",49.25,92.65
"Anderson, Tyler",48.70000000000001,90.26666666666667
"Ashcraft, Braxton",38.0,97.2
"Bassitt, Chris",37.86,92.6
"Bauer, Trevor",41.1,93.5
"Baz, Shane",37.05,96.5
"Bello, Brayan",30.5,95.4
"Bibee, Tanner",53.4,94.33333333333333
"Boyd, Matthew",27.3,92.5
"Bradish, Kyle",53.35,94.25
"Bradley, Taj",56.1,97.0
"Brown, Hunter",56.75,96.3
"Buehler, Walker",50.7,95.3
"Bundy, Dylan",51.0,90.0
"Burke, Sean",40.7,94.9
"Burns, Chase",52.7,97.7
"Cameron, Noah",52.2,92.5
"Canning, Griffin",45.2,93.4
"Cantillo, Joey",51.1,92.1
"Carrasco, Carlos",35.6,93.7
"Castillo, Luis",17.380000000000003,96.28
"Cavalli, Cade",36.2,96.8
"Cease, Dylan",53.1,96.73333333333333
"Civale, Aaron",46.9,91.2
"Corbin, Patrick",42.375,91.35
"Cortes, Nestor",47.1,92.1
"Crawford, Kutter",47.7,92.6
"Crochet, Garrett",35.0,96.4
"Cueto, Johnny",32.6,91.4
"Darvish, Yu",43.666666666666664,95.13333333333333
"Davies, Zach",38.8,88.7
"DeSclafani, Anthony",40.7,94.1
"Detmers, Reid",41.3,94.1
"Dunning, Dane",37.6,90.6
"Elder, Bryce",50.65,91.65
"Eovaldi, Nathan",35.53333333333333,95.56666666666666
"Fedde, Erick",37.3,93.3
"Feltner, Ryan",42.0,94.6
"Flaherty, Jack",28.3,93.3
"Flexen, Chris",67.2,92.7
"Freeland, Kyle",27.7,91.36666666666667
"Fried, Max",49.65,94.45
"Gallen, Zac",42.95,93.575
"Gausman, Kevin",38.25,94.46666666666665
"Gibson, Kyle",44.260000000000005,92.14
"Gilbert, Logan",47.25,96.125
"Gomber, Austin",53.1,90.4
"Gonzales, Marco",42.9,88.45
"Gore, MacKenzie",47.5,95.7
"Gray, Sonny",47.975,92.17500000000001
"Greinke, Zack",47.55,88.5
"Griffin, Foster",44.9,91.5
"Heaney, Andrew",33.2,91.5
"Hendricks, Kyle",46.46666666666667,87.06666666666666
"Holmes, Clay",43.6,93.2
"Imanaga, Shota",39.15,91.7
"Irvin, Cole",44.8,90.75
"Irvin, Jake",27.85,93.15
"Javier, Cristian",38.5,92.7
"Keller, Mitch",37.166666666666664,94.60000000000001
"Kelly, Merrill",25.733333333333334,92.23333333333333
"Keuchel, Dallas",47.95,88.65
"Kikuchi, Yusei",40.13333333333333,95.13333333333333
"King, Michael",26.95,93.85
"Kirby, George",35.26666666666667,96.23333333333333
