name,surgery_date,type,source,surgery_year,date_precision
"Berríos, José",2026-05-20,Tommy John,Roegele DB,2026.0,exact
"Eflin, Zach",2026-04-08,Tommy John,Roegele DB,2026.0,exact
"Burnes, Corbin",2025-06-11,Tommy John,Roegele DB,2025.0,exact
"Steele, Justin",2025-04-18,Tommy John,Roegele DB,2025.0,exact
"Montgomery, Jordan",2025-04-01,Tommy John (2nd),Roegele DB,2025.0,exact
"Cole, Gerrit",2025-03-11,Tommy John,Roegele DB,2025.0,exact
"Blanco, Ronel",2025-06-06,Tommy John,Roegele DB,2025.0,exact
"Houck, Tanner",2025-08-06,Tommy John,Roegele DB,2025.0,exact
"Montas, Frankie",2025-09-09,Tommy John,Roegele DB,2025.0,exact
"Alcantara, Sandy",2023-10-01,Tommy John,Web search,2023.0,exact
"Bieber, Shane",2024-04-05,Tommy John,Web search,2024.0,exact
"deGrom, Jacob",2023-06-06,Tommy John (2nd),Wikipedia,2023.0,exact
"Ray, Robbie",2023-08-01,Tommy John,Wikipedia,2023.0,exact
"Strider, Spencer",2024-04-12,Internal Brace (UCL),Web search,2024.0,exact
"Giolito, Lucas",2024-03-01,Internal Brace (UCL),Web search,2024.0,exact
"Wrobleski, Justin",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Heaney, Andrew",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Eovaldi, Nathan",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Dunning, Dane",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Mahle, Tyler",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Morton, Charlie",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Fried, Max",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Luzardo, Jesús",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Severino, Luis",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Irvin, Cole",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Bradish, Kyle",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Taillon, Jameson",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Carrasco, Carlos",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Boyd, Matthew",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Wheeler, Zack",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Walker, Taijuan",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Pérez, Martín",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Cease, Dylan",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Darvish, Yu",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Musgrove, Joe",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Bassitt, Chris",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Manoah, Alek",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Verlander, Justin",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Javier, Cristian",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Webb, Logan",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Gibson, Kyle",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Fedde, Erick",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Lynn, Lance",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
"Baz, Shane",,Tommy John (date unknown),2024 roster cross-reference,,roster_confirmed_only
